,mid,province,gender,verified,retweet_mid_indicator,uid,retweet_uid_indicator,source,image,text,geo,created_at,delete_indicator,censor_indicator
179109,mP6EGmgyhy,44,m,True,0,uQZ05IGQK,0,易车网,1,是为了悼念这家化作灰烬的销售店以及警醒失去理智的伪爱国者阳光下的暴行来自同胞的痛诉,0,2012-09-17,0,1
58390,mNpiSMUkMJ,11,m,True,0,uI43M2TC4,0,新浪微博,1,今天国航飞机返航这事可以拍电影了剧本这样写终于坐上了飞往美国的班机飞机缓缓起飞他长出一口气自由了想到自己那已经转出国外的几亿美刀和翘首以盼他到来的妻儿想着以后锦衣玉食的生活他微笑着进入了梦乡终于落地了他打开屏幕上出现的的是中国移动欢迎您,0,2012-08-29,0,1
60208,mUEMphRe9O,33,m,True,0,uQSML5HGZ,0,三星GalaxyNote,1,中共广州市越秀区委常委宣传部长陈晓丹不是另一个陈晓丹,0,2012-09-01,0,1
58058,mgwVNWdqbC,11,m,True,0,uQSM5LJG4,0,新浪微博,1,今天有多家报纸报道了福建表叔跨省毁报大家都在等这场不堪大任者与无耻妄行者的角斗最后的结局,0,2012-10-10,0,1
83222,mVQ5s1T9P7,81,m,True,0,uFABML10,0,FaWave,1,數十名要求撤回國民教育科的學民思潮成員繼續留守政府總部其中三的學生計劃絕食小時我個人贊成這種非暴力的抗爭方式希望港府撤回德育及國民教育科只推出香港人非常需要的德育科,0,2012-08-31,0,1
38967,m608I06LTm,43,m,True,1,uII5KA5TG,1,小米手机,0,法律有这样的规定怒是法律规定的吗岳麓区法院你牛逼大了,0,2012-10-27,0,1
139105,mFLSgbr6gx,11,f,True,0,uOQZ3FO1I,0,iPad客户端,0,什么最无用中国护照呗全世界最垃圾护照之一中国护照免签入境的国家仅仅个有个在非洲连去港澳都要签证全球个国家倒数第三仅列于朝鲜巴基斯坦之前免签的国家有些是从来没有听过的看看其他中国人香港免签国家个台湾免签国家个,0,2012-09-04,0,1
5877,mkpFvf5INN,46,m,True,0,uS5WVAU1K,0,新浪微博,1,向白岩松求证我对天发誓如果三个月没有百万人转的话表示我们中国人真的败了原来寄生等于自己养老同时向国务院有关部委求证,0,2012-08-18,0,1
114415,mEm8Abdmos,11,m,True,1,uII5BTCL5,1,iPhone客户端,0,还兴先放风的想形成中日对战格局给了谁另一方的民族主义者都不舒服奥奖很坏啊哈哈前年刘磕巴的事崔卫平做了个民间调查把丫吓坏了,0,2012-10-06,0,1
58213,mU5Nh0TkLm,21,m,False,0,uK3R3AJBB,0,新浪微博,1,敏感词慕容雪村据联合早报伯克利大学中国数字时代网从去年月开始收录新浪微博禁止搜索的敏感词至今年月日共收录个敏感词平均每天产生个新敏感词假设每个词两个字总计个字网上一份常用汉字表共收录了汉字不计重复部分这个月产生的敏感词就占去了,0,2012-08-27,1,1
106214,m9Rs7JKHNZ,11,m,True,0,uP2ZTCIYX,0,新浪微博,1,我们丢掉了什么改革把信仰丢了发展把道德丢了教育把灵魂丢了吃饭把健康丢了买房把幸福丢了经商把信誉丢了做官把底线丢了上访把自由丢了外交把形象丢了维稳把领海丢了工作把兴趣丢了结婚把爱情丢了生活把尊严丢了为了钱把什么都丢了,0,2012-08-28,0,1
127856,mFLEGQu4KB,31,m,True,1,u0AGYQYNJ,1,专业版微博,0,令人发指微博,0,2012-09-26,0,1
90035,mQFsu3mRSf,44,f,True,0,uI43YZHR1,0,iPhone客户端,1,惠州秩序井然,0,2012-09-16,1,1
42671,m9IZ6WoHnW,100,m,False,0,uRSRB3POP,0,新浪微博,0,故宫出大事了网友问是慈禧诈尸了还是太监长小了我答不能说,0,2012-08-31,0,1
13365,mqJeXytYAW,37,m,False,0,uM1ULU4GX,0,分享按钮,1,我叫单正国在青岛元鼎律师事务所作一名律师因代理案件年月日下午被两个歹徒从背后用铁棍袭击当时我被打得遍体鳞伤当晚嚣张的歹徒打电话让我退出吴志华与孔令奇的案件并威胁杀我全家轮奸我不满岁的侄女现凶犯至今在逃我被迫悬赏十万元人民币缉拿凶犯和幕后黑手,0,2012-08-13,0,1
217534,mr3dOGf8WU,61,m,False,0,u1O5Y2CXL,0,新浪微博,1,叛徒张国焘对伟光正的污蔑革命成功必独裁统治年张国焘办杂志污蔑共二十年来的悠长岁月之中党浸沉于残杀破坏扰乱之中假定党武装革命成功继军事征服力量而起的必然是一种独裁政治无疑张国焘是预言帝呀,0,2012-09-01,1,1
226,mkpuQZKbih,11,m,False,0,uRUURVQS,0,iPhone客户端,1,哈儿想把任建宇煽颠罪证送给莫言先生祝福他荣获诺贝尔和平奖,0,2012-10-11,0,1
86488,meBXIxjBub,400,m,False,0,uK3RRIB3N,0,360安全浏览器,1,钻石高行健获诺贝尔奖感言摘录其实作家同读者的关系无非是精神上的一种交流彼此不必见面不必交往只通过作品得以沟通文学作为人类活动尚免除不了的一种行为读与写双方都自觉自愿因此文学对于大众不负有甚么义务,0,2012-10-11,1,1
885,mdO7KzIJLw,11,m,False,0,uM1UWKVGJ,0,新浪微博,1,北京事儿只有一辆军车遵纪守法其他多车都在逆行怒,0,2012-08-09,0,1
86815,mnVislsZRh,11,m,True,1,u1CIABK01,1,随享.iPhone,0,呵呵呵据说一天元还发矿泉水,0,2012-09-16,0,1
56239,mGvjmqxmnz,400,m,False,0,uPVDGYZVG,0,新浪微博,1,三大无耻理论国情论凡是不如人家的都是国情不同这是万能遮羞布到最后连强拆和打死人都成了国情阴谋论动辄就是别国有阴谋还自以为洞悉政治本质这也是块遮羞布可以用此掩盖所有反人类行径历史无用论认为历史已经过去了不应再提却不知道如今的许多问题都是历史遗毒章立凡,0,2012-10-21,0,1
69388,m0WaVklCQs,44,m,False,0,uSIACIFSB,0,iPad客户端,1,最惊艳网易评论毛巨俠牛逼精选,0,2012-09-20,0,1
96967,m9IUmPaCU7,11,m,True,1,uJ2OA2OAG,1,新浪微博,0,怎么办倪,0,2012-09-25,0,1
158138,mvRRx8P3OM,43,m,True,1,uDG0SWMSC,1,Android客户端,0,唱的好月日湖南省莲花镇村民何志华拆迁被轧死月日湖北随州村民李芳胜拆迁被杀死月日辽宁盘锦村民王树杰拆迁被警察枪杀拆迁悲剧何时了一声叹息长沙湖南中国尽如是土家野夫,0,2012-09-25,0,1
148877,mtqxoWRwTE,50,m,False,0,uJWI2HJPF,0,Dell平板电脑,1,人民有尊严国家才配谈尊严俄罗斯比前苏联在国际上受侮辱大陆比台湾在国际上更受牛大陆有原子弹台湾没有但台湾护照免签国比大陆多得多你持大陆护照跟台湾人在全球一起走走就知道谁在外面受侮辱你再到官不聊生的台湾和民不聊生的大陆看看就知道哪里的人民在国内受侮辱转,0,2012-08-02,0,1
205945,mtq2M1YVFN,11,f,False,0,uW0EHXKHQ,0,定时8,0,吃着肯德起汉堡穿着地摊背着阿尼玛的包包拿着双卡双待的爱疯用着貌似度娘的综合搜索山寨无情的摧残着我们幼小的心灵亲你也中枪了么,0,2012-09-04,0,1
47247,m9IuUBXoCj,31,m,True,0,uBID0ZO0S,0,新浪微博,0,很多人没有意识到此次事件的严重性和历史标志性意义自义和团一边倒和火烧英国代办处这是第四回街上看到的只是虾兵蟹将和撒豆成兵的幻影而已不足为道真正严峻的问题是有人要直接否定所谓改革开放路线重开冷战并借重开新冷战重塑内部大政,0,2012-09-19,0,1
116056,mNpOAtUJTR,100,m,False,0,uR1WHMITA,0,新浪微博,1,爱国爱家爱防火防盗防尼玛,0,2012-10-28,1,1
58896,mRsgjVRgyq,11,f,False,0,uBIDINTD2,0,新浪微博,1,恭喜北师大中国两位在本土获得诺贝尔奖的中国人都是北京师范大学毕业的啊一个是年硕士毕业后留北京师范大学任教另一个是莫言年毕业于北京师范大学鲁迅文学院创作研究生班并获文艺学硕士学位,0,2012-10-11,1,1
116619,mTSUMtD6kd,100,m,True,0,uMLLCZGKS,0,新浪微博,1,一位年輕媽媽的現場記錄人是可以如此美好的相信正能量,0,2012-09-07,0,1
158060,mwuCBOJ7hQ,51,m,True,0,uY02EGS54,0,新浪微博,0,太原市富士康月日凌晨,0,2012-09-24,0,1
37241,mr3TEWgWpQ,11,m,True,0,uOQZLPO4S,0,iPad客户端,0,纽约时报报道的几个细节英国人敲诈金额是万英镑母子互称对方小兔和大兔小兔曾被英国人扣留在英国的一所房子里另一个没有实施的方案是把英国人定位为贩毒者由王局长在抓捕毒贩时开枪击毙案发夜谷拿着一瓶威士忌单独进入了英国人的房间,0,2012-08-11,0,1
135329,mj4YPYtwkz,61,m,True,1,uQZ0XXYJ4,1,新浪微博,0,草泥马极度恐怖,0,2012-09-26,0,1
190660,m7n6ZIolpp,81,m,False,0,uQZ0A3T4Z,0,新浪微博,1,江大前晚突然現身北京國大院攜夫人王平及前政局常委李清陪同的還有國家副席曾紅前副總理曾炎等演出屬包場不對外售票但邀請了很多在京的省部級高官出席觀看在一眾前高官陪同下包場欣賞西洋歌劇江坐足逾兩小時看全劇並登台發表講話,0,2012-09-25,0,1
74762,mtHKsDzTLU,81,m,False,1,uZNDM1EX3,1,iPhone客户端,0,叫吳克儉聽聽末世疯狂蜡烛从小学生到高中生一个也不要放过把唱国歌的全抓起来吧,0,2012-10-28,0,1
171054,mwuCJEPStB,11,f,True,0,uHQYSOEOP,0,新浪微博,0,越来越觉得这事不对劲四五十个城市同时起动人数不多但破坏力大几乎全部中青年男性集结后立即打砸目标感强防暴警察的执法不作为步调统一各路喇叭媒体和官博忙不迭对打砸暴行定性为爱国行为的过激表现显示打砸暴徒的微博被极快删帖这是不是一场根本与人民无关的有组织的暴行,0,2012-09-16,0,1
1366,m9IUQNhbGR,51,m,False,1,uSIA54GVT,1,Android客户端,0,同求谁这么无耻污蔑我伟大光荣正确的党求辟谣话筒话筒,0,2012-09-27,0,1
14095,mnViKzQrjZ,11,m,False,0,uWYNZ1CNE,0,新浪微博,0,老帅哥想您了,0,2012-09-15,0,1
174622,mPotRDJgaO,44,m,False,0,uWYNYPZ3I,0,淘宝客户端,1,公民恤公民文化衫团定款这个宝贝凑够件开始做有兴趣的师友请下单,0,2012-09-06,0,1
61796,mQFmxA0vym,45,m,True,0,uMLL0F13D,0,UC浏览器,0,小时候书本上说中国用世界的耕地养活了的人口可是它不告诉我们这人口养了世界的公务员这人口的教育经费只占世界的这人口的财富的集中在的人手里这的人口中的吃着全世界最毒的食物缴纳最高的税干最脏最累的活,0,2012-10-11,0,1
180606,mNTkOZSPpX,81,f,False,1,uMMSWSEFA,1,iPad客户端,0,赤果果的歧视我最近都不能睡我不过想安居乐业被条仆街搞到样样都不顺快下班的時候稍微看了一下新聞以為新政策對香港居民沒有影響現在看真點才發現只是對香港永久居民沒有影響曾俊華你翻屋企含啦遲早比港辦中辦革你職之前你都敢玩野,0,2012-10-28,0,1
136765,mhkm7CCTOF,11,m,False,0,uNEGFEZ32,0,iPhone客户端,0,的总编真是传媒界的一个奇葩贵报有几十万份吗跨省毁报谁毁的是烧的还是埋的遗迹在哪儿别出来说笑话了,0,2012-10-09,0,1
28042,m9RYq4tRL6,82,f,False,0,uHRV5FQHR,0,专业版微博,1,不要在充当冷漠的看客了不要在忍气吞声了我们吃着有毒的食物我们的财富被随意的挥霍我们的宪法被无情的践踏我们的正义被无耻的打压难道还要再沉默下去吗当下一个莫须有的罪名降临到你的头上你希望有人站出来为你讨还公道吗,0,2012-10-13,1,1
115174,mtq4yYrKqT,44,m,True,0,uWWBWUDKV,0,iPhone客户端,0,我们没有国我们没有真正属于自己的土地房屋甚至墓地没有生育权没有出入境以及言论的自由没有保护自己不受不公平待遇的能力我们不是公民而是居民我们是一群暂住在中国这片土地上的租客在这一切没有得到改变之前你可以让我热爱地球但请不要跟我谈什么爱国我们根本没有国,0,2012-08-17,0,1
26154,mj4mJbDQ5Y,400,f,True,0,uJ2O1WDZB,0,微话题,1,钓鱼岛是中国的周一表示抗议周二严正交涉周三深表遗憾周四密切关注周五强烈谴责周六周日休息,0,2012-09-11,0,1
43634,m7ddHHkL7r,34,m,True,0,uYC3UHED2,0,新浪微博,1,放心中日绝不会开战别看某国军费奇高其实都变成了豪车茅台文工团平时训练多弄虚作假战斗力只有一颗星除了核武常规军力军士素质跟日本没法比绝不敢打要是越南小菲的话还能对付一下况且作为屁民不能渴望打仗战争对屁民有百弊无一利一打起来物价飞涨物资紧张生活更麻烦别粪了,0,2012-09-12,0,1
71133,mEjetfZ2te,11,f,False,0,uPKFOANLF,0,新浪微博,1,龙应台为什么台湾人不想统一台湾人已经习惯生活在一个民主体制里他习惯看到官员为政策错误而被弹劾他习惯读到报纸对政府的抨击对领导人的诘问他习惯表达对政治人物的取笑和鄙视他不怕警察因为有法律保障了他的权利他敢买房子因为私有财产受宪法规范他发言批评不担心被报复,0,2012-09-08,1,1
83307,mviMcfrmlg,11,m,True,0,uLCMY22PK,0,新浪微博,1,抵制日货不如砸烂特供,0,2012-09-21,0,1
104139,mJtZ4KVwoo,11,m,True,0,uQZ0EZ2XX,0,新浪微博,1,强奸犯一边在强奸女人一边在问你幸不幸幸福女人好不容易伸手擦干泪水悲愤地回了一句你有高潮你就赶紧射吧求求你不要再问我幸福不幸福好吗你已经强奸了我的肉体难道你还要强奸我的灵魂吗,0,2012-10-08,0,1
126757,mnzedKD35c,11,m,False,0,uM1UWKVGJ,0,新浪微博,1,北京事儿实拍北京交警死磕违章警察月日北京东四北大街什锦花园胡同口两辆警车乱停致交通不畅于是一位交警上前规劝谁知警察叔叔并不领情反而和交警争论起来最后交警叔叔怒开警车罚单支持交警叔叔严格执法同时欢迎过路的亲们补充事实真相,0,2012-09-07,1,1
21922,m2XR65DRs0,81,m,False,0,u1CR2B45L,0,iPhone客户端,1,反國民教育音樂會是的香港人很閒閒得風雨飄搖過後太陽遍地在政府總部門口帶著孩子開著嘉年華與音樂會,1,2012-09-01,1,1
80243,mSawbrzZPP,11,f,False,0,uP2ZKWUCJ,0,新浪微博,1,哥今儿限行又打车失败腿儿到地铁据说在北京要这样才能打到车是吗哥就不蛋腚了可蛋疼啊,0,2012-09-27,0,1
162354,mEm4RgMsHz,81,m,True,0,u0VPTBRWJ,0,Android客户端,1,被刪再黎過憤怒人群坐爆政府總部同對開添美道要求政府徹回國民教育科呢度有成萬人係小數定係票選出黎既特首梁振英係小數,0,2012-09-03,0,1
76012,mA3p3exmAR,31,m,True,0,uEMBQRAT5,0,分享按钮,1,进步了有人把王局夜奔视为第二次林副主席北飞在某种程度上对政府的杀伤力有得一比不过林副主席哪会儿无苏领馆可奔只能,0,2012-09-18,0,1
149483,mf62MYgnsu,81,m,False,0,u3JHEK31B,0,3hk.cn上香港网,0,在北京外交部再次就保釣人士被捕向日方提出嚴正交涉和抗議敦促日方立即無條件放人放船另外在北京和廣州等多個內地城市都有民眾示威聲援保釣人士有內地網民發起明天及周日分別在十多個城市示威,0,2012-08-16,1,1
42920,mzqSsJBbNJ,81,m,True,0,uAHFFVK1X,0,官方博客挂件,0,明天是香港特区立法会选举日也是毛赤东的死忌日老毛不死中国人没有普选权连党员和中央委员的普选权利也是空话文化革命打倒了中共八大大部分中央委员１９７３年９月老毛当着副主席周恩来王洪文对外宾说我也是秦始皇既然是毛皇帝统治毛皇朝那么民主选举都是空话,0,2012-09-08,0,1
147163,mkbzSiGegr,81,f,True,0,u0AGG11HE,0,专业版微博,0,老薄挂了早知今日何必当初都是体制惹得祸权利没有约束没有监督穿了黄马褂就以为自己真的是皇帝了制度不改革不知道谁是下一个,0,2012-09-28,0,1
113460,mkpFKU6qtz,11,m,True,0,uI43M2TC4,0,新浪微博,1,沈阳打假这篇文章看的我内牛满面文风虽戏谑事实尽血泪啊不是店主们不愿意营业而是欲加之罪何患无辞啊要罚你款你怎么躲都躲不过啊不关门怎么办请扩散大家都来看看沈阳的打假基因,0,2012-08-06,0,1
68968,mpbvEwTuCn,11,m,True,0,uPVDPGRKP,0,新浪微博,1,今天俺参加了日本大使馆前的抗议活动总的印象是人潮汹涌声势浩大绝大多数为后毛泽东是这场爱国运动的真正精神领袖几乎每支游行队伍前都有他的画像游行的群众非常理性令人欣慰绝对是自发行为警方戒备森严态度和蔼俺也向大使馆内投了一个矿泉水瓶,0,2012-09-18,0,1
167792,mA3puqdZEs,100,m,True,0,uMLLCZGKS,0,新浪微博,1,公安現身香港途人驚嚇報警不過這位公安同志不是來執勤是來伸冤求助的不過您跑上水火車站幹嘛還穿這身制服嚇死人,0,2012-09-19,0,1
156878,mSF9GQhUmd,44,m,True,0,uKB5ZR4SM,0,专业版微博,1,公民第一课从学会如何上街抗议开始,0,2012-09-17,0,1
43553,mjBcBEwpcd,31,m,True,0,uBID0ZO0S,0,新浪微博,0,莫言在获奖后接受凤凰卫视采访时说这是一个可以自由发言的时代这是一句地地道道的谎话生活在一个连获奖的赞扬评论都被勒令撤版的国家面对他前任的获奖者或被驱离祖国或在狱中的命运面对微博上每天这么多删帖和注销账户一个诺贝尔桂冠作家要多无耻多昧着良心才能说出这句话,0,2012-10-11,0,1
146416,mc9dlpxGbn,31,m,True,1,uQZ05BT1V,1,新浪微博,0,转无,0,2012-09-17,0,1
141135,mJKC15OWKP,11,m,True,0,uNEGPS1PF,0,新浪微博,1,有不以营利为目的的经营吗日刘福堂案庭审中刘的辩护人指出非法经营罪行为人主观上应有营利目的刘福堂自费印制作品赠阅宣传环保不具有营利目的不具备非法经营罪的主观要件公诉人答辩称非法经营罪不要求行为人有营利目的正像我们说经营人生一样经营不一定都有营利目的,0,2012-10-12,0,1
204540,m4YNkA6UOS,81,f,True,0,uHRVMRC0P,0,Instagram,1,學民思潮,0,2012-08-20,1,1
122156,mQFXzw7Q3W,11,f,True,0,uATZTIUTC,0,新浪微博,0,合肥中院通报薄谷开来张晓军案据前方媒体消息合肥市中院刚刚通报尼尔伍德遭毒杀案检方称薄谷开来张晓军犯罪事实清楚触犯刑法应以故意杀人罪追责薄谷开来是主犯张晓军是从犯检方也出示了相关证据和薄谷开来证言薄谷开来身体良好对杀人事实没提出异议法院将择期宣判,0,2012-08-09,0,1
49838,mJdyIgmhkE,11,m,True,0,uFAB302D,0,新浪微博,1,岁的省委宣传部副部长,0,2012-08-10,0,1
109790,m5P513QJDm,11,m,True,0,uP2ZTCIYX,0,新浪微博,1,如此维护主权叫人啼笑皆非央视中午发了三条新闻一是中国坚决反对日本政府购买钓鱼岛二是中国两艘海监船到离钓鱼岛海里海域宣示主权三是我国今起发布钓鱼岛海域气象预报看了我国维护主权的措施叫人啼笑皆非我不禁要问这是捍卫领土主权还是为日本侵占钓鱼岛保驾护航提供气象服务,0,2012-09-11,0,1
30653,mZmqzSXUwP,44,f,False,0,uJWIFFG5Q,0,皮皮时光机,1,尼玛滴这服务逆天了这妹子到底想干啥不过晚上睡不着滴童鞋看来再也不会寂寞了哈哈都可以速度去调戏要服务哦可爱转自网络新浪最大的图库速来关注,0,2012-09-04,0,1
94596,m3eAoRYbgh,11,m,True,1,uGL2IHHKL,1,新浪微博,0,刚好在北航的旁边中午吃饭去探探班去北航并非疯人院,0,2012-09-27,0,1
104016,mRsr5rE4hC,11,m,False,0,uBKZUZTQ2,0,新浪微博,1,请教鉴表大师这三位戴表如何上兴隆台区区委书记蒋星辰中兴隆台区区长刘世杰下兴隆台区副区长兼公安局长麻忠庭注月日辽宁盘锦兴隆台区警方参与征地冲突击毙村民王世杰,0,2012-09-23,0,1
33427,mTSvoLBAaX,51,m,True,0,uVEQHTYRS,0,新浪微博,0,保定官方通报称爆炸案死亡人数为人实际上死亡人数至少为人他们是定州铁西派出所家属高华娟与杜政宇蠡县林堡村王红娜曲阳橫沟口村李玉会李林纪颖惠李忻澎以及曲阳北德村韩阿照罪犯董涛和葛少峰也在爆炸中身亡报人是为了掌控案件处理权死人数如达到人省级部门介入,0,2012-10-23,0,1
55952,mZwOfRHdVP,82,f,True,0,uATZOURME,0,新浪微博,1,入一老农生命垂危三番五次咽不了气死不瞑目问其有何遗愿老农说我要入生前一定要成为员组织部长听闻此事大为感动亲自前往火速签字批准随行记者问感谢你对的仰慕为何这么坚决要入呢老农用最后一口气道我希望多死一个员少死一个百姓左小祖咒,0,2012-08-28,1,1
140063,mdOTSBNvxP,81,m,True,0,uKB511ZXW,0,新浪微博,1,香港告急八號風球,0,2012-09-07,0,1
15204,m4YqS2XPKe,11,m,True,0,uMMS54BNG,0,iPhone客户端,0,青年们你们知道宣传部门为何至今不让宣传文革吗就是怕承认错了怕让后人知道太丢人了,0,2012-09-23,0,1
75255,mLL8ge9wV2,23,m,True,0,uZXKPN5JS,0,iPhone客户端,1,牡丹江激昂的反日广场活动,1,2012-09-14,1,1
97911,mwQTVAghR1,11,f,True,1,uLUCTPOWN,0,新浪微博手机版,0,你有日货么舍得砸么说得这么轻巧历史的车轮要前进总会轧死一些花花草草暴力为何要对准无辜群众攒钱买个车容易吗至少可以借此表示我民众对日决裂之勇气决心否则连个烂车都舍不得必为日人以为软弱砸同胞的车给日本人看颜色,0,2012-09-17,0,1
218224,mU5NqPEsqu,81,m,True,0,uKB511ZXW,0,新浪微博,1,轉自,0,2012-08-31,0,1
214345,m7ymW4aNsX,81,m,True,0,u351ZJORC,0,新浪微博,1,关于庐江糗事网友再次发力竟找出图中人物有一人为团委副书记汪昱庐江副县长蒋大斌庐江书记王民生尚待求证真是峰回路转啊静待庐江继续辟谣,0,2012-08-10,0,1
10112,mQFozt2FCy,11,m,True,0,uPVDPGRKP,0,新浪微群,1,很专业的文章网传最高人民检察院法医王雪梅公开质疑泥耳五德死亡案泥耳五德真是死于氰化物中毒吗原文地址原文地址,0,2012-09-25,0,1
117505,mTSUevFgxh,81,m,False,0,uYCE4YMJC,0,新浪微博,1,香港反國民教育科運動的訊息在微博等平台傳播後一些大陸網友對這場運動有不少誤解和質疑此文很好地回應了最常見的質疑因本期週刊佔領十日反國民教育科全記錄編輯時此文尚未完成遂未能加入本期週刊但我們還是決定將這篇文章單獨發佈希冀能回答一些疑問並引發更深入的交流與思考,0,2012-09-16,0,1
182754,mFLTUqs2Jk,400,m,False,0,uB5NFUJCJ,0,新浪微博,1,看图说话不知道谁是敏感词这条微博发出来了你们却看不到前有苏浩今有李亚力太远公安局真威武威武威武,0,2012-10-24,1,1
88605,mqJvtCLRMG,11,m,True,0,uW0EJ4SN2,0,iPad客户端,1,年逆向变迁发展最快的产业腐败产业膨胀最快的部门政府部门成长最速的群体权贵阶层沦落最大的人群普通民众投入最少的领域民生建设分化最猛的方面贫富差距丢失最多的东西社会信仰损害最惨的机制诚实信用透支最狠的资源发展潜力倒退最重的方面法治建设,0,2012-09-20,0,1
41566,mj4INd7Wk9,11,m,True,1,u0AGMQ5ZP,1,iPhone客户端,0,估计还有一个班子成员未确定分歧大可时间紧迫,0,2012-10-20,0,1
31615,m5P5VgnCxf,33,m,True,0,uBKZ0FFUJ,0,iPad客户端,1,还是那句话我国政府在与本国国民土地争夺战中从未输过在与外国土地争夺战中从未赢过,0,2012-09-22,0,1
6269,mL8bj02eRy,32,f,False,0,uHRVMNDCU,0,iPhone客户端,0,纽约时报中文网躺在秘密之上的中国官场转自官方微信,1,2012-10-09,1,1
138739,m7dDek4RzQ,43,m,False,0,uSIAHVKZN,0,新浪微博,1,惊爆贴郑州人工湖龙湖近日蓄水仪式为了领导视察将红地毯铺到了湖中央其中踏过红地毯的领导就有郑州市委书记吴天君天君好霸气的名字啊随便一搜发现吴书记也是爱戴表人士恭请诸君品鉴下图薛蛮子宁财神,0,2012-10-19,1,1
75991,meBKt9ndVB,11,m,True,0,uVT4HP2MK,0,iPhone客户端,0,日晩点半经长沙湘江路一桥北两百米不停看见长沙人的日本车被掀翻至少二十多台同车的朋友打电话追问移民事宜我哭了,0,2012-09-15,0,1
24962,mNpMpOmpbC,44,m,True,0,uRLODGJLA,0,FaWave,1,微晶报之晶晚报第期跨省毁报废劳教还是改劳教,0,2012-10-09,0,1
81327,mnzvPd8EZu,44,m,False,0,uR1W3KXBH,0,新浪微博,1,保存的照片据最新可靠消息现盘锦方面会同山西某媒体人正用重金收买微博博主以删掉盘锦姜某戴表图片甚至强行封号来掩盖事实对此有正义感的知名博主不为所动誓将网络反贪进行到底下图中手表为格拉苏蒂市价欧元请亲们怒转起来,0,2012-09-28,0,1
118708,mdOGfkSyKH,33,m,False,0,uKPKXKVEX,0,新浪微博,1,无耻怒骂这位先生你好你砸得很开心啊你知不知道你砸的是你们西安人的脸砸的是全中国人的脸告知你一下在这个让全国人民痛心的事件结束之后的日子西安西安钟楼饭店一架钢琴两部电梯等着你赔祝你幸福蜡烛蜡烛袁飏先生,0,2012-09-16,1,1
151836,mJKPqK66Cl,31,m,True,0,uP2ZYYSZ4,0,新浪微博,1,转小学语文课本三年级下册第课,0,2012-09-07,0,1
122513,m80LfwyGeU,44,m,True,0,uLMIPNMT5,0,iPhone客户端,1,何三畏理性爱国保钓新口号没医保没社保心中只有钓鱼岛就算政府不养老也要收复钓鱼岛没物权没人权钓鱼岛上争主权买不起房修不起坟寸土不让日本人,0,2012-09-20,0,1
