,mid,province,gender,verified,retweet_mid_indicator,uid,retweet_uid_indicator,source,image,text,geo,created_at,delete_indicator,censor_indicator
31416,mLL2jLNu9J,11,m,True,0,uQHCW2RRA,0,新浪微博,0,百度工程师指搜索突破底线违反基本协议针对近日沸沸扬扬的百度攻防大战百度工程师赵明华近日回应指出突破底线的行为包括恶意违反协议偷窃内容擅自更改用户默认选项劫持流量欺骗网民跳转快照更换偷取数据腾讯科技,0,2012-08-30,0,1
71662,mEjVN6HTH3,11,m,True,0,uLCMM2IZL,0,iPhone客户端,0,老贴回放环球主笔王文评论薄今天记者会饱受刁问但他回答得体坦诚近年来一些舆论极尽妖魔化之能事让人寒心但重庆人高满意率高支持率不可抹杀我认为无论舆论怎样８个月后的九个位子应该容下他如果这都无法包容那真是共产党的不幸大多数中国人的不幸但有人会大笑我大笑了,0,2012-09-29,0,1
63623,mu95b4NYad,400,m,False,0,uZNJ01PKV,0,新浪微博,1,南方发生了什么,0,2012-08-11,0,1
123344,mrAlL5sBX6,11,m,True,0,uVEQVWUAF,0,新浪微博,0,今天关键词一个是中国宁波的某个地名一个是谁谁谁敛财②⑦亿美金国旗喜迎①⑧大我们的祖国越来越和谐了,0,2012-10-28,0,1
139463,mzqSyrLkim,81,f,True,0,uMLLBLH1O,0,iPhone客户端,1,特首梁振英這裡是香港不是北韓,0,2012-09-07,1,1
147420,mzqNAa4kmw,11,m,True,0,uLMITBRHD,0,新浪微博,0,既然是一桩故意杀人案不在案发地审也不在被告居住地审悄悄搞到安徽某地去审理令人费解家属曾经从香港打电话来欲委托我但后来得知已经有指定律师外地律师尤其北京律师根本无法介入在未审之前已通过官方媒体公告起诉书内容并证据确凿审判不就是走过场被告人的诉讼权利保障堪忧,0,2012-08-01,0,1
164778,m5P5xNYl5p,31,m,True,0,uEMB3OOIX,0,新浪微博,0,越看越不对头了说实话爱国主义目前在中国仅够起哄的砸店抢店这种事情如果没有内部人员挑头通常不敢干实体爱国成本巨大这会儿谁要是掉头冲向市政府估计队伍里能有一半人掏出手铐,0,2012-09-15,0,1
40281,m0khQfslXy,44,m,True,0,uVT4CB5DT,0,美图秀秀,1,罕见的一组大跃进人民公社照片下载吧,0,2012-09-19,0,1
82094,m3eFBGW04t,81,f,True,0,uTS2DSFGO,0,新浪微博,1,下星期二著乜衫都好千奇唔好著白衫去政府總部呀,0,2012-09-07,1,1
196721,mqeMpjyIFx,100,m,False,0,uR1WHMITA,0,新浪微博,1,就这样对待我们百姓我们无权推到但是我们有公民基本发布权利,0,2012-10-28,1,1
123192,m80Bqht6JL,37,m,False,0,uBK1K4YED,0,新浪微博,1,强烈要求中国政府撤销外交部这个只会反反复复的表示关切谴责抗议的部门不仅没有存在的必要还有损国人的尊严浪费纳税人的钱同意的请转吴淑平流浪的云薛蛮子叶匡政章立凡封新城任志强,0,2012-08-26,0,1
166284,m7d9QNdkwp,11,f,True,1,uATZPYOS5,1,新浪微博,0,本来就是对付民的微博,0,2012-09-26,0,1
210380,mBc5ptxB4S,44,f,False,0,uSIA1PA1N,0,新浪微博,0,今遭遇特权车队大批交警在管制安静的屁民车龙中一辆别克车突然长按喇叭渐渐的几乎所有的车喇叭都响起来了大家都鸣笛低头默哀持续了三分钟心中默念领导您一路走好在此建议全国推广,0,2012-09-25,1,1
33735,mZwQuXlfjh,11,m,False,0,uCBTMIOGD,0,新浪微博,1,有些图片不得不看,0,2012-09-17,0,1
86263,mgwUcxoGtj,11,m,True,0,uB4GXLJZH,0,新浪微博,1,日本千吨核污染垃圾被进口至宁波超国标两百倍前几天宁波海关通报在从日本千叶起运的一千多吨废五金经查测定辐射源超过国家环控标准二百倍自福岛核泄露以来陆续有超过八千多吨受核污染的日本垃圾运抵中国被查出这些废金属可能被重新加工成建材或着生活上身边各种常见的用品西部网,0,2012-09-04,0,1
49894,mHBDSIopka,81,m,False,1,uZNDSRCC4,0,新浪微博手机版,0,民主黨已發展成滙點騎劫港同盟你睇滙點班人如楊森丶狄志遠搞乜前者反對五區公投後者為國民教育抬橋加埋劉慧偽民主連李柱銘都冇眼睇呢個廢黨范國威出走係正確選擇可惜人氣唔夠媒體選擇性報道好大責任尤其肥佬黎只攬住公民黨我同意你的意見所以我選擇支持進步激進派但選,0,2012-08-16,0,1
104839,mHNygZa956,33,m,True,0,uY02ZASA4,0,新浪微博,0,你既然已经接了该案建议辩护思路不去强化这一点要去政治化辩护就案论案讲犯罪构成要件不构成犯罪你将此案例去冲出版自由被告就判定了帮助地方小官找到了大官后台甚至政党的支持出版自由要在议会上去讲不是个案中去牺牲,0,2012-10-13,0,1
202404,m5P5468gle,11,m,True,0,u5KYLNHL4,0,iPhone客户端,0,群体性事件的目标与方向往往会转向这将是一场大戏导演编剧都会很惨而群众演员嘛演哪一方都无所谓他们啊才是重在参与,0,2012-09-15,0,1
24503,mcrgpjYREy,31,m,True,0,uI43SOAHR,0,新浪微博,1,杨澜加入美国国籍两会还有多少老外杨澜昨天终于承认自己的美国籍身份她理直气壮地说虽然我入了美国籍但我出身于中国所以从原产地角度而言我不出席美国的两会而出席中国的两会是天经地义的据说的代表持有外国护照委员中持有外国护照,0,2012-09-01,0,1
51859,m3eFS7BAr4,44,m,True,0,uJWI2WXYX,0,Weico.iPhone,1,一群脑子被洗得惨白的大陆人用仅有的那一点点自我声嘶力竭地支持还没有被洗脑的香港人这就好比一个被毒品坑害的病人用生命在呐喊阻止健康人染上毒瘾爱惜同胞兄弟落入陷阱一样,0,2012-09-08,0,1
159597,mFLT53FJhQ,44,f,False,1,uCBTJFHTG,1,新浪微博,0,传了大多半年的谣言成真了這回真了微博,0,2012-10-19,0,1
176996,mxO1ELG3wR,41,m,True,0,uZDQAR4XK,0,新浪微博,1,连个诺贝尔官网都打不开的国家居然还想得诺贝尔奖真他娘的滑天下之稽,0,2012-10-11,0,1
175602,mEmxF9Xtom,400,f,True,0,uJ2O1WDZB,0,新浪微博,1,一部正版日本片在当地差不多卖到日元折合成人民币约元左右一个中国网友下载部岛国爱情动作片就相当于打劫日本万元如果万党员带头下载仅此一项就相当于掠夺日本两千玖百亿美元爱国有时候就这么简单,0,2012-08-19,1,1
182487,mZmSRpW3j0,400,m,True,1,uGL4TXBUH,1,新浪微博,0,遍地土匪遍地烽烟遍地血怒疯了酷,0,2012-09-24,0,1
118278,mdO7KYmgix,11,m,True,0,uLMIYQ0RJ,0,FaWave,1,氰化物入口即死的毒药之王在名侦探柯南中柯南经常会闻一闻死者的嘴苦杏仁味然后脑子被雷劈过马萨卡这种苦杏仁味的毒药就是侦探小说的最爱氰化物最近氰化物又成为了人们关注的热点作为高端毒药的杰出代表氰化物值得好好说一说,0,2012-08-09,0,1
67805,mptIupfXUN,31,m,True,0,uDG02DDM3,0,新浪微博,1,董事会到底个人好还是个人好有何经验体会,0,2012-08-22,0,1
191180,muyk15Iw2e,44,m,True,0,u0AGTMD1X,0,新浪微博,0,谈竞争谈用户体验都是笑话当一个安全产品竟然能伪装成微软的补丁去诱导用户安装浏览器的时候当安全卫士不停地提示用户网速慢的要装浏览器的时候当一个一个小的网址导航被安全的名义吃掉的时候再来谈竞争谈用户体验怎么看都是一个笑话,0,2012-08-29,0,1
119528,mUEOCg3ylH,32,m,False,0,uI43SFUEM,0,新浪微博,1,看完这张图恨死蒋介石,0,2012-09-14,0,1
96267,mVZBjqLXPL,62,m,False,0,u351UK2PF,0,推爱,1,屌丝真正的定义是吃着地沟油的命操着中南海的心生日本人的气砸中国人的车,0,2012-08-30,1,1
43269,m9IAeHbIMZ,11,m,True,0,uLMITBRHD,0,新浪微博,1,你说小岛是你家的可是人家驻扎着城管自己家人回家还被抓被抓了就抗议放人了就说是抗议的结果现在人家派人去登岛了这是挑衅你主权你家的城管呢可以搞十万大军去围捕一个劫匪却纵容几个小日本在你家撒泼不能总是仰望星空啊前戏都做了这么久了怎么也让人看到你雄起一回啊,0,2012-08-19,0,1
32308,mqJUT42nJ5,32,m,False,0,uSIA154BU,0,分享按钮,1,庐江艳照背后的较量目前庐江县的事情已经惊动了中央中央调查组已经介入我就看看最后能是个什么结果中华网,0,2012-08-11,0,1
49505,mFLLfVlibR,400,m,False,0,uZNJ01PKV,0,新浪微博,1,福布斯向英文读者介绍了一个新的汉字词语捐你妹作者解释说动词你妹是中文里的一种诅咒方式,0,2012-08-02,1,1
153056,mBsKyhnhU0,44,m,True,1,uFABTXIS,1,新浪微博,0,给张老师补充一下他不过是在苏俄的帮助下攫取了统治国家的权力并通过这个权力向苏俄输送了包括国土在内的巨大利益,0,2012-09-28,0,1
65305,m7yizfZ6OV,34,m,False,0,uY021NNYW,0,新浪微博,1,表叔怕了副省长李金柱在包庇表哥杨达才之后被网友人肉诸多腐败疑点暴露出来表叔为了逃避法律制裁公然否认是表哥杨达才的主管上级还不惜重金收买媒体在不到一天的时间内将爆料出来大部分信息删除了一个副省级官员就能如此轻松应对亿万民众再大一点的官员就是如来佛主了北京酋长,0,2012-09-28,0,1
30064,mNpOtdL24L,13,m,False,0,uUPW2KOTB,0,新浪博客,1,发表了一篇转载博文转载海外评出年中国十大恶心人物图,0,2012-10-25,0,1
29270,mvRhbRd6RT,36,m,False,0,u3JHQFJYQ,0,享拍微博通,1,高手是如何戴表的,0,2012-09-04,1,1
109328,mg7wBwPTm,81,m,True,0,uQHC3FLDD,0,iPhone客户端,1,七十年代老學運岑建勳說今晚的主題是青春,0,2012-09-06,0,1
59097,m9IAerssIB,46,m,True,0,uS5WVAU1K,0,新浪微博,1,总理再次呼吁劳教制度必须尽快废除温指出解放以后我们有两部完全违反宪法的规定一个是收容遣送现在我们已经把它废除了第二个就是劳教规定这种制度是现在任何一个法制国家都没有的是针对人民群众而不是保护人民群众的我们应该立即勇敢地废除它明镜新闻网年月日,0,2012-08-19,0,1
53662,m5uNoXqYGz,11,m,True,0,uRUHUYAX,0,专业版微博,1,看图北京反日游行中的标语哪怕顿顿瘦肉精也要出兵灭东瀛哪怕养老没人管也要占领富士山,0,2012-09-18,0,1
160007,mTSuPzFGz8,400,f,True,0,uNEGO5ZIZ,0,北美省钱快报微论坛,1,人民日报大地副刊主编徐怀谦疑患抑郁症跳楼自杀年生于山东高密年毕业于北京大学中文系后获中国社会科学院研究生院文学硕士学位著有杂文随笔集拍案不再惊奇生命深处的文字游与思等国学大师季羡林在,0,2012-08-24,1,1
20621,mexhkvBESB,400,f,False,1,uQSM0Y4EM,0,新浪微博,0,用心阴恶坚决抵制我们的官员村长都过亿全面超越首相总资产万倍我自豪,0,2012-08-26,1,1
81098,mEm4S9DmE7,37,m,False,0,uBK1K4YED,0,新浪微博,1,名人的传世名言邓亚萍人民日报年来没有假新闻李小琳我的成长是自己一步一步努力的成果张志军中国民众对政府满意度世界第一沙祖康中国人权至少比美国好五倍社科院陈光金中国全民社保制度体系基本形成这些名人的经典话语一定会在历史上留下重重的一笔左小祖咒叶匡政,0,2012-09-07,0,1
130619,mSahrC4m0r,11,m,True,0,uMMS54BNG,0,iPhone客户端,1,正解杜楠爆料经典神吐槽知道蒋介石为什么输给毛泽东吗因为蒋介石出的石头毛泽东出的布当然笑到最后的是出剪刀的下一个赢家一定是个出石头的,0,2012-10-20,0,1
182435,mNpWytKh2u,37,m,False,0,uBK1K4YED,0,新浪微博,1,沈阳罚款风愈刮愈盛继沈阳饱受商铺关门风侵袭之后以罚代管行动开始由行政执法操刀雁过拔毛屡禁不止昨于洪区执法强搬超市物品皇姑区执法对经营单位挂促销铭牌罚元据说现在在自家门市房上挂出租二字也是罚元理由是属于小招贴不交就停电话贪婪粗暴何时休叶匡政,0,2012-09-01,0,1
65535,mj4m1ijOqk,11,m,False,0,uVGJW3IB5,0,新浪微博,1,手机浏览器乱象观察百度跑分造假的三宗罪一宗罪暗渡陈仓伪装桌面浏览器骗取得分二宗罪移花接木调用系统播放器骗取得分三宗罪无中生有骗取安全中的得分度娘最近真是腹背受敌啊互联网的那点事,0,2012-09-07,0,1
147032,mpbv35bJaT,61,m,True,0,uDZP0CAUZ,0,新浪微博,0,紧急求救我现在在南稍门我和家人已经无法出行一片打砸抢烧太太吓的跑了回来不知该如何孩子原本的舞蹈课和表演课也都不能去了西安市长在干什么西安民警在做什么西安一片乱象人们都疯狂了强烈呼吁陕西西安政府保护市民安全,0,2012-09-15,0,1
77700,mevD38SXbO,11,m,True,0,uZXYRDJKT,0,皮皮时光机,1,泰晤士报中国体育培训太残酷再多金牌也不值中国体育训练残酷大量被淘汰运动员身心粉碎即使赢枚金牌都不值如此代价中国希望利用运动员取得成功来展示其政权的胜利正如前苏联和东德然而精英体育成功不能说明政治文化的美德它往往显示了一种不自信和道德缺陷福布斯,0,2012-08-02,0,1
103672,mQWuDz18UC,11,m,False,0,uDSKZNML,0,新浪微博,1,大审将至不彻底清算他的全部罪行或者直接杀掉都是非常危险的他的支持者遍布各领域一旦遇到合适的土壤他他们还东山再起因为你的判决绝对做不到让他永远出不了监狱卡斯特罗萨达姆都蹲国监狱吧他的出现与没有彻底清算毛是有关系的一定要吸取教训中国再也经不起这么折腾了,0,2012-10-14,0,1
174884,mFLESufKzA,21,m,True,1,uCBTGFYAK,1,新浪微博,0,我操尼玛这是什么日本人操他妈的恐怖,0,2012-09-25,0,1
14354,mNpalbps9G,100,m,False,0,uOQZZWTB4,0,新浪微博,1,养贪官做房奴决不放弃钓鱼岛深圳同胞们越来越幽默了刘春,0,2012-09-16,0,1
74403,mkpA4Mwp2I,11,m,False,0,uI43KNK40,0,皮皮时光机,1,多日不见同学们安,0,2012-09-11,1,1
20372,m0WWMQPtPM,11,m,True,0,uZXYZZT1K,0,新浪微博,0,许多新闻出口之后再内销说案主角开除党籍追不追刑责呢可能不追了吧这样的结果法律界如何看淡化处理淡出视线扯淡是不是,0,2012-08-27,0,1
134652,mEm4n7YkyK,81,m,False,0,u3JLFEENS,0,新浪微博,0,下午五点多添马公园已坐满政府总部后面的立法会广场很快也坐满迟来市民只好站在旁边马路上观看大莹幕我捐款给反洗脑大联盟看见前后左右也是捐元黄耀明刘以达黄家强岑建勋学民思潮召集人黄之锋以及好多教授教师家长上台发言和表演万多人反对洗脑守护孩子的声音震撼政总,0,2012-09-01,0,1
1005,mVQ0BhOkye,61,f,False,0,uVGJGHA3G,0,新浪微博,1,这是我修改后的西安之痛感谢老师替我先发出来也感谢所有帮助我完成这个记录的人感谢受害者为我重述他们所遭遇的伤痛遗憾的是我的记录很不全面这里是一个有部分照片的长微博和博客链接狄马,0,2012-09-27,0,1
130058,mexR77NTKi,33,m,True,0,uBKZ0FFUJ,0,新浪微博,1,据羊城晚报报道深圳人在抵制日货行动中打砸日系车已被批捕在目前如此狂热的氛围下此举殊属不易希望能够唤起理性爱国赞赞赞,0,2012-09-15,0,1
56787,m3e35u9JvC,50,m,True,0,uRLOSK2KM,0,新浪微博,1,极其震惊这与爱国与保钓一点关系没有怎么会这样了,0,2012-09-16,0,1
163108,mt8DHvXRAh,36,m,True,0,uP2ZYDQNB,0,新浪微博,1,同城在关注博友开日产车的朋友别往广场和北京路省政府门口走不理性的国人在砸车,0,2012-09-16,0,1
214892,mdZCdFuXyU,400,m,True,0,uDSGC0YD,0,新浪微博,0,我们抗议房子被强拆立刻被驱赶拘捕我们抗议污染项目上马立刻被驱赶拘捕我们在广场祭奠在灾难中死去的人立刻被驱赶拘捕今天一群群流氓冲进店打砸抢烧你们不管冲进超市强取豪夺你们不管踢砸掀翻同胞的车你们不管要么你们就是那群流氓要么你们在指挥那群流氓否则你们在干啥,0,2012-09-15,0,1
32832,mCCJTRFlJJ,82,f,False,0,uHRV5FQHR,0,专业版微博,1,他是人民的希望给重庆带来了前所未有的资源以他特立独行的方式一扫官场颓废之风以他的想象力给这座老工业城市注入了自信和方向感从一开始他就注定不光属于重庆还属于全中国不管外界如何评说重庆以及全国人都应该记住这五年一个人改变了一座城市,0,2012-10-13,1,1
170706,mcrj4ca6eX,11,m,True,0,uBIBFUAIU,0,iPhone客户端,0,一头狮子醒着看似很强壮最近却被日本咬了一口被韩国拔了一根毛被菲律宾放了个臭屁被美国电击了好几次它用得最多的词汇是我强烈抗议于是这个世界没有谁真正怕这头狮子它有很多老朋友但基本都是骗吃骗喝的假朋友,0,2012-10-17,0,1
168165,m3e30ma5IG,42,f,False,0,uVGJH2BFB,0,UC浏览器,1,谣言即未曾发生或未被证实的事如果以下所述日后证实纯属谣言传谣信谣者后果自负截至月日晚时分秒各地爱国青年共打砸日系车余辆砸疑似日系企业开办商店商行余家烧毁家打伤亲日和似日人员余人名孕妇被打致流产西安数名肇事者核实身份后发现均有犯罪前科,0,2012-09-16,1,1
141940,m4YNjUXBV3,400,m,False,0,uGL4PWMRU,0,新浪微博,1,達明和學民思潮合作的黃耀明,0,2012-08-19,0,1
158044,m80qkjg13t,100,m,True,0,u02LO4SXX,0,新浪微博,1,被撤版的报道福建表叔厅长来了云南都市时报社社长总编辑图已下厂印刷被撤下来的版面,0,2012-10-09,0,1
41577,mZmSPABQI7,100,m,False,0,uOQZZWTB4,0,新浪微博,1,孝感你赢了弱湖北孝感身背两杆枪长的打鬼子短的打姑娘微评恶俗当有趣二流子别动队左小祖咒,0,2012-09-19,1,1
212195,mxO1wYMKme,11,m,True,1,uSIALOX1S,1,iPhone客户端,0,河蟹社会挖鼻屎有些历史必须要被忘记后来呢人入地狱畜生生天,0,2012-10-07,0,1
22218,mnzeVSY9Pc,11,f,True,0,uOQZ3FO1I,0,企业微博,1,宋楚瑜真正的奇迹是既能经济成长同时又让人人赚到钱蒋经国治理时期台湾人均所得从美元成长到美元最高所得五分之一家庭与最低所得五分之一家庭收入差距仅从倍微调到倍人均所得成长倍但贫富差距却能限缩于经济成长果实全民共享财富不是集中于少数人手中,0,2012-09-04,1,1
109756,m0WQm6volg,71,m,False,0,u02LNZANB,0,新浪微博,1,美国真乱乱套了哈哈哈哈哈哈,0,2012-10-27,1,1
138591,mdZ2a7Sh78,11,m,True,1,uBK12YYDM,1,360安全浏览器,0,她是干嘛的曾给朋友们发过一份李夫人的介绍觉得她是最低调的官夫人不爱慕虚荣不求别的只期待清廉的政府可参考也是一个角度现在看未来正需要不同角度的各观察,0,2012-10-21,0,1
93783,mLL4RDYdjg,11,m,False,0,uMLLZQOE4,0,分享按钮,1,年月日公民程海北京律师张维云北京律师朱顺忠媒体薛孟春企管王全璋北京律师人邮寄送达公民监督书要求中纪委监察部国家安监总局最高检等依法严厉追究北京大暴雨渎职公务员等违使用发布,0,2012-08-15,0,1
116418,mj4mANVzin,15,m,False,0,uR1WO2B25,0,新浪微博,1,连删两次你妹的小秘书传个背心也不行吗公民许志永,0,2012-09-17,1,1
132331,m2gyohXcUB,14,m,True,0,uWYNM4VJ0,0,iPhone客户端,1,西安警方线索征集爱国不是挡箭牌侵犯私产就是犯罪在月日的打砸烧事件中被损坏的日系汽车车主是在中国政府的许可下依法拥有这些财物的根据中华人民共和国刑法第条规定参与打砸抢烧的暴徒们都涉嫌违反了刑法构成了刑事犯罪希望广大市民向警方提供线索求扩散,0,2012-09-17,0,1
107876,mGv6Fiunzd,81,m,True,0,uGL4ODSZN,0,iPad客户端,1,可能又會有人話香港媒體勾結外國勢力干預國內事務但請想想當香港失去了言論自由失去了新聞自由資訊不再流通巿民變得愚昧香港徹底大陸化後還有什麼條件讓外資優先考慮投資或在香港營商,0,2012-10-14,0,1
43010,m7yWSo4QyB,400,f,True,0,u1O54WSN3,0,美图秀秀iPad版,1,今天下午流窜到九寨下降时机翼几乎是擦着雪峰缓缓而落从机场出来天边的云朵喜迎斯巴达,0,2012-10-22,1,1
206063,mvRRxCfJQb,41,m,True,0,uP2ZD1NN3,0,新浪微博,1,话筒盘锦前线的记者和律师们正在艰难地干活他们被跟踪被阻难强烈呼吁网民们声援律师记者等前线的勇士们同时也警告你们必须要保障记者和律师们的安全,0,2012-09-25,0,1
136075,mEjVgotCsd,44,m,False,0,uVEQVLY4D,0,360安全浏览器,1,普世太保的民主杀气❶南都记者闫涛民主了爆你菊花❷南方系陈乐应该把毛左都送炉子炼肥皂❸周亚辉杀掉两亿中国人才有自由民主制度❹所有类似之流的资格就是被做成一盘花江狗肉❺对新文革余孽及其家人连坐没有同情只有诅咒,0,2012-09-24,1,1
166941,mH4RQvAcBz,100,m,False,1,uZ32NJBU5,1,Android客户端,0,何谓激进建制派盲的曾伟雄也盲的这回有板有眼港人是爭民主争福祉鄰居是打着红旗打砸抢,0,2012-09-16,0,1
108848,mRc7G3rNjI,37,m,True,1,uBKZRSELB,1,新浪微博,0,威武是谁让这种人如此狂妄这杂种也带表丧心病狂这种官员完全走向了民众的反面微博,0,2012-09-22,0,1
148810,m3e30lBJOa,81,f,True,0,uUPWNDXEE,0,iPhone客户端,1,日本街头播放着中国人烧车砸店的画面疯狂狰狞的中国男子站在车上喊着抵制日货砸车车里是惊恐的中国女人最后镜头放大到该男子穿着某日本品牌衣服镜头再转到围观拍照的中国人手里的佳能尼康相机上中国人民爱国抗日游行被反华势力利用来搞破坏反华分子有组织有预谋地要把游行变成暴动,0,2012-09-16,1,1
160253,mL8lxcznfJ,33,m,True,0,uY02ZASA4,0,iPhone客户端,1,出国转内销的民间网媒信息如此准确证明三大问题今日中国核心高层已无密可保国内舆论控制已经变态到只有谎言没有真相国内官媒已完全丧失舆论民信和主导权一旦天下大乱主流舆论已无稳定社会功能,0,2012-09-20,0,1
204068,mNTkMhZ5dz,11,f,False,0,uNEGMEHEB,0,iPhone客户端,1,介绍两名律师,0,2012-10-28,1,1
142161,mU5BN1ikN6,51,f,True,0,uUPCX3QDL,0,新浪博客,1,彼得弗拉基米洛夫日记记录的中共抗战真相片段选录年前的今天日本天皇宣布无条件投降这里发布几则共产国际驻延安联络员彼得弗拉基米洛夫的日记他提供的证据和视角对于了解抗日真相使用新浪长微博工具发布,0,2012-08-15,0,1
97584,mviaR7j8Qy,81,m,False,0,u5KYUIHNP,0,索尼Xperia S LT26i,1,土耳其人都支持反洗腦教育,1,2012-09-07,1,1
186685,mpGjz1oRTQ,81,m,False,0,uATZD0C2D,0,新浪微博,0,靠近政总的地铁金钟站出口由于人太多已封锁政总旁边的添美路四条行车线也已占满附近的添美公园也快占满满眼尽是黑衣人满城尽吹自由风陈日君来了肥佬黎来了李柱铭来了森美小仪也来了黄之锋说这一刻我们创造了历史,0,2012-09-07,0,1
56779,mEjeGxRCAn,12,m,True,0,uW0EBZZ3B,0,新浪微博,1,照相機年北京摇滚歌手崔健瑪格南攝影師帕特里克紮克曼攝,0,2012-09-15,0,1
209002,mTSUV3CKyF,11,f,False,0,uPKFOANLF,0,新浪微博,1,上联香港公民拼命抵抗国民教育下联大陆屁民尽情展示洗脑成果横批一国两智汉克斯,0,2012-09-16,0,1
147686,mrM6kyFtGw,11,m,True,0,uQZ05B1MY,0,新浪微博,0,牵脖动国枭首相来访预定要见猫国继承人Ψ但被告知见不了睡觉落枕代替者是Ψ的顺位继承人枭愤然猫国也惶恐传闻Ψ失踪得不到枭支持鼠国乘机侵桑地猫民大怒知道Ψ脖子没事的猫劝它赶紧露面Ψ不同意怕失信后数日保桑倒Ψ风潮席卷猫国储位危史称牵脖动国事件,0,2012-09-16,0,1
70708,mZmSnXT4io,100,f,True,0,uLCMKDFOU,0,iPhone客户端,1,这是一封写给谁的信位老人的心冷如寒冰一记耳光让那从来夹在裤裆中的奴才嘴脸发出恶臭只是这普适的光辉还未照亮的地方又早早丢了礼仪廉耻披着文明外衣的叫兽又是谁给了他无耻的理由,0,2012-09-22,1,1
79312,mnzBY0XekW,11,m,False,1,uCBTMIOGD,1,新浪微博,0,嘻嘻恩我沒說文學之前還有位藏族人也得和平獎您忘了麼刘是和平奖不是文学中國諾貝爾獎第三人吧中国诺贝尔文学奖第二人而已,0,2012-10-12,0,1
15286,m2gb1QuD43,11,m,True,0,uI43KIYF0,0,新浪微博,1,媒体公然造假这是一个什么样的国度呸,0,2012-08-16,0,1
128070,mhi30Tdc6L,11,m,True,0,uM1UWRRVB,0,新浪微博,1,柏杉林二十四猛料出炉安徽庐江县委书记王民生副县长蒋大彬淫乱照,0,2012-08-09,0,1
145630,m3zJiBtQgo,81,f,True,0,uM1UVLTCP,0,iPhone客户端,1,最大的漢奸,0,2012-09-21,1,1
203719,m5uVOO9Yof,11,m,False,0,uONP3ZQBK,0,iPad客户端,1,月孕妇被强行引产孕妇婴儿双双殒命两台面的车在长沙浏阳金刚镇珊瑚村宋怀金家门口噶然而止车上同时下来十几个人直接冲入刘丹房间把刘丹强行架到面包车上怀孕月的浏阳姑娘刘丹就这样被浏阳市计生委抓走被强制注射了引产针七窍流血母子双双殒命,0,2012-08-04,1,1
171826,mCVFNrlCgk,44,f,False,0,uWYNB2B2B,0,新浪微博,0,重要提醒明天广州深圳可能会出现重大暴力事件利用最后一天上演最后的疯狂请务必不要赶往环市路和华强北等地以确保自己的人身安全求紧急呼吁,0,2012-09-18,1,1
111689,mL29eoeSNS,11,m,True,1,uMLLBVB30,0,iPhone客户端,0,反腐反贪污这太过份太过份北京市长书记听见了吗看到了吗一直让纳税人购买高价的税控机为什么政府不补助中间有什么猫泥,0,2012-08-26,0,1
1066,mc9d4mZCFL,11,m,True,0,uP2ZTFKIJ,0,360安全浏览器,1,李省长的表貌似也不少酷图卫视评论,0,2012-09-22,0,1
